schema,relation,constraint,class
public,operational_program_checklist_items_v1,operational_program_checklist_items_v1_completed_by_fkey,N
public,operational_program_checklist_items_v1,operational_program_checklist_items_v1_event_id_fkey,N
public,operational_program_events_v1,operational_program_events_v1_cancelled_by_fkey,N
public,operational_program_events_v1,operational_program_events_v1_created_by_fkey,N
public,operational_program_events_v1,operational_program_events_v1_location_id_fkey,N
public,operational_program_events_v1,operational_program_events_v1_parent_event_id_fkey,N
public,operational_program_events_v1,operational_program_events_v1_published_by_fkey,N
public,operational_program_inventory_links_v1,operational_program_inventory_links_v1_integration_id_fkey,N
public,operational_program_participants_v1,operational_program_participants_v1_auth_user_id_fkey,N
public,operational_program_participants_v1,operational_program_participants_v1_employee_id_fkey,N
public,optimization_runs,optimization_runs_matrix_version_id_fkey,N
public,optimization_runs,optimization_runs_profile_id_fkey,N
public,optimization_runs,optimization_runs_requested_by_fkey,N
public,plan_issues,plan_issues_shift_id_fkey,N
public,plan_variants_v2,plan_variants_v2_last_edited_by_fkey,N
public,plans,plans_created_by_fkey,N
public,plans,plans_parent_plan_id_fkey,N
public,published_schedule_variants_v2,published_schedule_variants_v2_role_id_fkey,N
public,published_schedules_v2,published_schedules_v2_archived_by_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_activated_assignment_id_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_activated_by_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_activated_shift_id_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_created_by_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_matrix_version_id_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_role_id_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_source_role_schedule_id_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_source_schedule_id_fkey,N
public,published_standby_assignments_v2,published_standby_assignments_v2_source_variant_id_fkey,N
public,recovery_actions_v2,recovery_actions_v2_draft_variant_id_fkey,N
public,recovery_actions_v2,recovery_actions_v2_duty_id_fkey,N
public,recovery_actions_v2,recovery_actions_v2_role_id_fkey,N
public,recovery_actions_v2,recovery_actions_v2_selected_employee_id_fkey,N
public,recovery_actions_v2,recovery_actions_v2_shift_id_fkey,N
public,recovery_actions_v2,recovery_actions_v2_source_assignment_id_fkey,N
public,recovery_actions_v2,recovery_actions_v2_source_issue_id_fkey,N
